declaration_id,state,governor,eo_number,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
NY-KATHYHOCHUL-EO-47.5,NY,Kathy Hochul,47.5,extension,"Executive Order 47.5 declares a disaster emergency and orders the New York National Guard into active service at various correctional facilities through June 8, 2025.",2025-05-09,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-475-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2025-05/eo_47.5.pdf
NY-KATHYHOCHUL-EO-47.4,NY,Kathy Hochul,47.4,extension,"Executive Order 47.4 declares a disaster emergency and orders the New York National Guard into active service at various correctional facilities through May 9, 2025.",2025-04-09,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-474-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2025-04/eo_47.4.pdf
NY-KATHYHOCHUL-EO-47.3,NY,Kathy Hochul,47.3,extension,Declaring a Disaster Emergency in the State of New York and Ordering Into Active Service the New York National Guard to Assist Authorities in Guaranteeing Public Property at Various Correctional Facilities.,2025-03-10,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-473-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2025-03/eo_47.3.pdf
NY-KATHYHOCHUL-EO-47.2,NY,Kathy Hochul,47.2,extension,Declaring a Disaster Emergency in the State of New York and Ordering Into Active Service the New York National Guard to Assist Authorities in Guaranteeing Public Order and Protection of Public Property at Various Correctional Facilities,2025-02-23,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-472-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2025-02/eo_47.2.pdf
NY-KATHYHOCHUL-EO-47.1,NY,Kathy Hochul,47.1,extension,Declaring a Disaster Emergency in the State of New York and Ordering Into Active Service the New York National Guard to Assist Authorities in Guaranteeing Public Order and Protection of Public Property at Various Correctional Facilities,2025-02-22,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-471-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2025-02/eo_47.1.pdf
NY-KATHYHOCHUL-EO-47,NY,Kathy Hochul,47,declaration,"Executive Order 47 declares a State Disaster Emergency and orders the New York National Guard into active service effective through March 21, 2025.",2025-02-19,,False,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-47-declaring-disaster-emergency-state-new-york-and-ordering-active-service-new,https://www.governor.ny.gov/sites/default/files/2025-02/EO_47.pdf
NY-KATHYHOCHUL-EO-46,NY,Kathy Hochul,46,declaration,"Executive Order 46 declares a State Disaster Emergency in response to a hazardous winter storm system, effective February 14, 2025 through March 16, 2025.",2025-02-14,,True,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-46-declaring-disaster-emergency-state-new-york,https://www.governor.ny.gov/sites/default/files/2025-02/eo_46.pdf
NY-KATHYHOCHUL-EO-45,NY,Kathy Hochul,45,declaration,"Executive Order 45 declares a State Disaster Emergency effective February 7, 2025, for the entire State of New York through February 14, 2025.",2025-02-07,,True,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-45-declaring-disaster-emergency-state-new-york,https://www.governor.ny.gov/sites/default/files/2025-02/EO_45.pdf
NY-KATHYHOCHUL-EO-44,NY,Kathy Hochul,44,declaration,"DECLARING A DISASTER EMERGENCY IN THE COUNTIES OF ALLEGANY, CATTARAUGUS, CHAUTAUQUA, ERIE, GENESEE, JEFFERSON, LEWIS, NIAGARA, ONEIDA, ORLEANS, OSWEGO, WYOMING, AND CONTIGUOUS COUNTIES.",2025-01-20,,True,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-44-declaring-disaster-emergency-counties-allegany-cattaraugus-chautauqua-erie,https://www.governor.ny.gov/sites/default/files/2025-01/eo-44.pdf
NY-KATHYHOCHUL-EO-43,NY,Kathy Hochul,43,declaration,"Executive Order Number 43: Declares a disaster emergency in the Counties of Cattaraugus, Chautauqua, Erie, Franklin, Genesee, Hamilton, Herkimer, Jefferson, Lewis, Oswego, St. Lawrence, Wyoming, and contiguous counties.",2024-12-11,,True,current_complete,pdf,https://www.governor.ny.gov/executive-order/no-43-declaring-disaster-emergency-counties-cattaraugus-chautauqua-erie-franklin,https://www.governor.ny.gov/sites/default/files/2024-12/executive-order_43.pdf
