declaration_id,date_signed,event_description,decision,reason,date_evidence,archive_record_url,listing_url,fetch_error
ID-EO-2009-10,,ESTABLISHING A POLICY FOR ALL STATE AGENCIES CONCERNING PUBLIC FUNDS REPEALING AND REPLACING 2006-40,exclude,No event-specific weather declaration confirmed from title,,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000910-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2009-11,,ESTABLISHING A GUBERNATORIAL TASK FORCE ON MODERNIZING TRANSPORTATION FUNDING IN IDAHO,exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000911-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2009-12,,CONTINUING THE IDAHO CRIMINAL JUSTICE GRANT REVIEW BOARD FOR AWARDING FEDERAL GRANT FUNDS - REPEALING AND REPLACING EXECUTIVE ORDER NO. 2006-03,exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000912-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2009-13,,DEFERRED COMPENSATION PROGRAM FOR EMPLOYEES OF THE STATE OF IDAHO REPEALING AND REPLACING EXECUTIVE ORDER NO. 2005-07,exclude,No event-specific weather declaration confirmed from title,,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000913-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2009-14,,CONCERNING THE BUREAU OF EDUCATIONAL SERVICES FOR THE DEAF AND BLIND,exclude,No event-specific weather declaration confirmed from title,,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000914-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2009-15,,CONTINUING A SYSTEM FOR ALLOCATING VOLUME CAP FOR RECOVERY ZONE BONDS IN THE STATE CONSISTENT WITH THE PROVISIONS OF THE U.S. INTERNAL REVENUE CODE OF 1986,companion,"Amendment, extension, continuation, or supplementary action; not a separate event",,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000915-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2009-16,,TEMPORARY REDUCTION OF GENERAL FUND SPENDING AUTHORITY,exclude,No event-specific weather declaration confirmed from title,,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000916-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2009-17,,ESTABLISHING THE GOVERNOR’S HEALTH POLICY IMPLEMENTATION COMMITTEE,exclude,No event-specific weather declaration confirmed from title,,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000917-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2010-01,,ESTABLISHING THE BEHAVIORAL HEALTH TRANSFORMATION WORKGROUP REPEALING AND REPLACING EXECUTIVE ORDER 2009-04,exclude,No event-specific weather declaration confirmed from title,,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/001001-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2010-02,,ESTABLISHING THE WORKFORCE DEVELOPMENT COUNCIL FOR PLANNING AND OVERSIGHT OF THE STATE’S WORKFORCE DEVELOPMENT SYSTEM,exclude,No event-specific weather declaration confirmed from title,,https://adminrules.idaho.gov/rules/2011/EXOOrders/out/001002-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2010-03,,ESTABLISHING THE COUNCIL FOR PURCHASES FROM NON-PROFIT BUSINESSES THAT SERVE PEOPLE WITH DISABILITIES,exclude,No event-specific weather declaration confirmed from title,,https://adminrules.idaho.gov/rules/2011/EXOOrders/out/001003-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2010-04,,ESTABLISHING THE COUNCIL FOR PURCHASES FROM NON-PROFIT BUSINESSES THAT SERVE PEOPLE WITH DISABILITIES - REPEALING AND REPLACING EXECUTIVE ORDER 2010-03,exclude,No event-specific weather declaration confirmed from title,,https://adminrules.idaho.gov/rules/2011/EXOOrders/out/001004-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2010-05,,ESTABLISHING THE GOVERNOR’S COMMISSION ON SERVICE AND VOLUNTEERISM,exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://adminrules.idaho.gov/rules/2011/EXOOrders/out/001005-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2010-06,,AUTHORIZING THE ESTABLISHMENT OF THE IDAHO ABRAHAM LINCOLN BICENTENNIAL COMMISSION - REPEALING AND REPLACING EXECUTIVE ORDER 2006-17,exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://adminrules.idaho.gov/rules/2011/EXOOrders/out/001006-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2010-07,,ESTABLISHING THE IDAHO GEOSPATIAL COUNCIL,exclude,No event-specific weather declaration confirmed from title,,https://adminrules.idaho.gov/rules/2011/EXOOrders/out/001007-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
