declaration_id,state,governor,eo_number,action_type,event_description,date_signed,end_date,weather_related,document_format,archive_record_url
MA-EO-381,MA,William Weld,381,administrative,Executive Order (new series) No. 381,1995-12-12,,False,html,https://archives.lib.state.ma.us/entities/journalfile/48bb5968-bb4f-4aff-b888-bcb01ab71bcd
MA-EO-380,MA,William Weld,380,administrative,Providing for the Protection and Preservation of the Westfield River,1995-11-03,,False,html,https://archives.lib.state.ma.us/entities/journalfile/fd6c6b2a-8f95-4215-acb1-e474418c89a4
MA-EO-379,MA,William Weld,379,administrative,(Seaport Advisory Council),1995-11-01,,False,html,https://archives.lib.state.ma.us/entities/journalfile/15fb4811-7c8b-4982-bedc-cf35be47f4cc
MA-EO-378,MA,William Weld,378,administrative,Establishing a Planning Advisory Committee for Converting the South Weymouth Naval Air Station to Civilian Use Mount Greylock Scenic Byway Designation,1995-09-20,,False,html,https://archives.lib.state.ma.us/entities/journalfile/37e68168-9e84-4578-8bec-7949d28391c2
MA-EO-377,MA,William Weld,377,administrative,Executive Order (new series) No. 377,1995-06-16,,False,html,https://archives.lib.state.ma.us/entities/journalfile/e1b00cd9-d91e-459c-8678-5797d120f928
MA-EO-376,MA,William Weld,376,administrative,Establishing a Seaport Advisory Council,1994-12-22,,False,html,https://archives.lib.state.ma.us/entities/journalfile/97828d3d-b8af-4268-baae-4e5e3c2aaecf
MA-EO-375,MA,William Weld,375,administrative,Executive Order (new series) No. 375,1994-11-02,,False,html,https://archives.lib.state.ma.us/entities/journalfile/6251dc33-0d5e-4913-ab12-4542572944e9
MA-EO-374,MA,William Weld,374,administrative,Establishing a Rehabilitation Advisory Council for the Massachusetts Commission for the Blind,1994-09-26,2022-05-24,False,html,https://archives.lib.state.ma.us/entities/journalfile/2c16ecad-58f8-4991-b97b-4e24ef846fa8
MA-EO-373,MA,William Weld,373,administrative,Establishing a Statewide Independent Living Council,1994-09-26,,False,html,https://archives.lib.state.ma.us/entities/journalfile/f7e63130-bb93-4739-853d-82de821e85f4
MA-EO-372,MA,William Weld,372,administrative,Commission on Commonwealth Port Development,1994-08-16,,False,html,https://archives.lib.state.ma.us/entities/journalfile/beb3c096-f7cc-4cfa-aa63-5479c80005a1
MA-EO-371,MA,William Weld,371,administrative,Executive Order (new series) No. 371,1994-07-19,,False,html,https://archives.lib.state.ma.us/entities/journalfile/5472017d-868d-4d91-93a9-578acd45ac29
MA-EO-370,MA,William Weld,370,administrative,Requiring State Agencies to Purchase Underutilized Fish,1994-06-03,,False,html,https://archives.lib.state.ma.us/entities/journalfile/8f5e85f6-029f-4ccf-899e-018ce2982a46
MA-EO-369,MA,William Weld,369,administrative,Executive Order (new series) No. 369,1994-05-02,,False,html,https://archives.lib.state.ma.us/entities/journalfile/22cac577-0495-40b9-9838-f53d83130deb
MA-EO-368,MA,William Weld,368,administrative,Establishing a Rehabilitation Advisory Council,1994-04-26,2024-08-15,False,html,https://archives.lib.state.ma.us/entities/journalfile/627291be-6038-41a9-8df7-a57c5218fc04
MA-EO-367,MA,William Weld,367,administrative,Nomination of Federal Empowerment Zones and Enterprise Communities,1994-03-24,,False,html,https://archives.lib.state.ma.us/entities/journalfile/4f85d67e-f474-47fc-8b61-550ac09c26a1
MA-EO-366,MA,William Weld,366,declaration,Declaring a State of Emergency Resulting From Unprecedented Snowfall in the Commonwealth,1994-03-08,,True,html,https://archives.lib.state.ma.us/entities/journalfile/cdfe8df3-2a93-4dc4-8b25-9d4bf57b7ad2
